path,image_id,x1,y1,x2,y2,conf,class_id
FLIR_08863.jpg,-1,1589,659,1670,825,0.8184205889701843,0
FLIR_08863.jpg,-1,1305,710,1386,762,0.8130896091461182,2
FLIR_08863.jpg,-1,1685,632,1788,921,0.7935884594917297,0
FLIR_08863.jpg,-1,881,716,971,772,0.6561434864997864,2
FLIR_08863.jpg,-1,1455,547,1495,593,0.47629204392433167,9
FLIR_08863.jpg,-1,664,572,709,651,0.36688241362571716,9
FLIR_08863.jpg,-1,710,651,737,682,0.3463779091835022,9
FLIR_08863.jpg,-1,1264,711,1302,741,0.2856581211090088,2
FLIR_08863.jpg,-1,274,571,304,647,0.2705399990081787,9
FLIR_08864.jpg,-1,1097,649,1242,935,0.824596643447876,0
FLIR_08864.jpg,-1,1612,642,1675,888,0.8089804649353027,0
FLIR_08864.jpg,-1,1374,623,1521,951,0.8076982498168945,0
FLIR_08864.jpg,-1,1508,638,1580,890,0.7604958415031433,0
FLIR_08864.jpg,-1,1742,703,1799,775,0.731726884841919,2
FLIR_08864.jpg,-1,1234,546,1278,609,0.47489112615585327,9
FLIR_08864.jpg,-1,679,715,773,778,0.41542848944664,2
FLIR_08864.jpg,-1,504,655,532,686,0.2837723195552826,9
FLIR_08864.jpg,-1,458,578,506,654,0.26971808075904846,9
FLIR_08865.jpg,-1,1415,658,1675,787,0.9075927734375,2
FLIR_08865.jpg,-1,951,668,1108,946,0.8659026622772217,0
FLIR_08865.jpg,-1,641,644,800,929,0.8500370383262634,0
FLIR_08865.jpg,-1,1250,653,1355,887,0.8102701306343079,0
FLIR_08865.jpg,-1,1126,650,1225,901,0.8091149926185608,0
FLIR_08865.jpg,-1,1082,545,1129,601,0.5337892770767212,9
FLIR_08865.jpg,-1,320,580,369,660,0.46888360381126404,9
FLIR_08865.jpg,-1,1241,655,1285,814,0.4324597716331482,0
FLIR_08865.jpg,-1,1351,654,1429,799,0.4088362157344818,0
FLIR_08865.jpg,-1,542,718,631,784,0.4000311493873596,2
FLIR_08866.jpg,-1,680,653,833,945,0.8852397799491882,0
FLIR_08866.jpg,-1,1037,671,1158,899,0.8748477697372437,0
